UUID,Pinyin,Character,New Filename
sapi5-dd194af0-0b8c82c3-29ea91e6-be725670-f23590ce.mp3,lì,力,lì_力.mp3
sapi5-a6ddd3e7-dabdbc76-bf1b2dbf-50784827-bf2a22eb.mp3,tā,它,tā_它.mp3
sapi5-2687f36b-cb62c944-a867f376-afc42e85-41c65e5e.mp3,yǔ,与,yǔ_与.mp3
sapi5-1df349a0-b7e89a6c-ececd6e7-8a03f30e-0a724268.mp3,cháng,长,cháng_长.mp3
sapi5-7f31e7be-7ca6b181-f791d9a3-5083d1ec-c27439fe.mp3,bǎ,把,bǎ_把.mp3
sapi5-7923da40-6b9e2ba2-b6aadb96-50833cd3-14897b11.mp3,jī,机,jī_机.mp3
sapi5-dad047a5-b36f181b-a790353c-f8f03a36-da871c6a.mp3,shí,十,shí_十.mp3
sapi5-6d260282-3b855b0f-bd6ffb7f-5c9962a3-bdfe5575.mp3,mín,民,mín_民.mp3
sapi5-8476ae66-88a7f66b-59899f76-7ae70845-790cfe23.mp3,dì,第,dì_第.mp3
sapi5-de8f47a4-6724094c-a6530686-b8fd83de-d6e9a0fa.mp3,gōng,公,gōng_公.mp3
sapi5-1080490e-a6a343fd-d701c928-4ee2dfa1-c232d788.mp3,cǐ,此,cǐ_此.mp3
sapi5-0e0cdd26-4edc1853-e334a97f-76d51d43-ac5e3573.mp3,yǐ,已,yǐ_已.mp3
sapi5-592a52cb-32723a56-9a94ab18-9687a308-06d108b4.mp3,gōng,工,gōng_工.mp3
sapi5-7edec8f9-e734ad02-6fbb7dbf-7d3dcd6e-f18d4131.mp3,shǐ,使,shǐ_使.mp3
sapi5-e1954be0-483b7718-1f69c544-aabd7ad4-fe8f5a9d.mp3,qíng,情,qíng_情.mp3
sapi5-471cd2ed-eea8b869-c826a656-ed7e1584-fe9dc780.mp3,míng,明,míng_明.mp3
sapi5-bb022e51-74fc63bf-74b6fb6b-9f7432c7-f9e8fd73.mp3,xìng,性,xìng_性.mp3
sapi5-ca8e9786-98e73e83-ab9fc187-726ab836-172bc363.mp3,zhī,知,zhī_知.mp3
sapi5-cf1644d5-61be0b0f-b762d8e6-f6f1f821-e6fd632c.mp3,quán,全,quán_全.mp3
sapi5-8eb8fc57-0c004f58-fd9851f1-8b832e13-06420c50.mp3,sān,三,sān_三.mp3
sapi5-fe343470-134c7dc7-fd180eaa-bcbfb50d-7b32e867.mp3,yòu,又,yòu_又.mp3
sapi5-a598628b-fa980ebb-636ee984-ac3cc5c1-f0917183.mp3,guān,关,guān_关.mp3
sapi5-0da65523-2bdc98c9-30b01973-3f53ba49-b1f92a46.mp3,diǎn,点,diǎn_点.mp3
sapi5-a413128b-659ab72c-30d9405f-3847aac2-696b9a98.mp3,zhèng,正,zhèng_正.mp3
sapi5-c5235829-d5e9b238-1268c0a8-9e122be6-1feb7869.mp3,yè,业,yè_业.mp3
sapi5-196a09bf-324bc2b2-b3f02007-d0fcd25e-a1adcbef.mp3,wài,外,wài_外.mp3
sapi5-44b5c019-552dc30e-172abe8d-3188582d-1ef28b8d.mp3,jiāng,将,jiāng_将.mp3
sapi5-c1f8adac-dbaa8b88-52f2a767-2b521a59-4284a667.mp3,liǎng,两,liǎng_两.mp3
sapi5-ee2a3204-0ee53c46-b84eb8f9-138b68d7-1a6e655e.mp3,gāo,高,gāo_高.mp3
sapi5-83d4743b-a694b512-b7bb57be-0d7ffd9d-7373df90.mp3,jiān,间,jiān_间.mp3
sapi5-5c6a31f7-077e8781-6f1e7613-b795f516-ea057b68.mp3,yóu,由,yóu_由.mp3
sapi5-fdbcf40d-bf3092c1-50d2240e-c7f406cb-0412d69e.mp3,wèn,问,wèn_问.mp3
sapi5-0bb5d1d5-e59558ec-c8130978-cdb4a04c-7ee62796.mp3,hěn,很,hěn_很.mp3
sapi5-bd28121c-4d982795-8fef2923-1e787426-930f3e33.mp3,zuì,最,zuì_最.mp3
sapi5-c13b56f7-170ad13a-0055ed55-25841cfd-218d3617.mp3,zhòng,重,zhòng_重.mp3
